Name/Type|Responsible Department|Permit/Fee Name and Description|Statutory Authority |Fees As of Dec. 31, 2012|"Fees As of
June 30, 2011"|Fees As of April 1, 2012|Sec. 1-13 Increase Applies?|Sec. 1-14 Admin Fee Applies?|Increase Date|"(6)
Dept. Assignment: CATEGORY 
1 Permit
2 License 
3 Inspection
4 Plan Review
5 Support/Service
6 Other"|"(7)
Dept. Assignment
CRITERIA
1 Escalator/Ordinance
2 Contract 
3 State Law
4 Mkt. Driven
5 Other Escalator
6 Other"|"DECIMAL NOTES 
for PWE"|Fee As Jan 1, 2013|CPI increase 1.024214%in format #.####|Variance|% change|1.024214|PWE SEQUENCE Request|NOTE|Sequence Key|Change
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($1,000,000-$5,000,000 project valuation)  [Double Fee]|20-25(e)|1238.76|1200||Y|N||4|1||1268.75|1268.7553|29.99|0.024209694|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($151,000-$200,000 project valuation)|20-25(e)|206.46|200||Y|N||4|1||211.45|211.4592|4.99|0.024169331|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($151,000-$200,000 project valuation) [Double Fee]|20-25(e)|412.92|400||Y|N||4|1||422.91|422.9184|9.99|0.024193548|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($201,000-$300,000 project valuation)|20-25(e)|309.69|300||Y|N||4|1||317.18|317.1888|7.49|0.024185476|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($201,000-$300,000 project valuation)  [Double Fee]|20-25(e)|619.38|600||Y|N||4|1||634.37|634.3776|14.99|0.024201621|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($301,000-$500,000 project valuation)|20-25(e)|412.92|400||Y|N||4|1||422.91|422.9184|9.99|0.024193548|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($301,0000-$$500,000 project valuation)|20-25(e)|825.84|800||Y|N||4|1||845.83|845.8368|19.99|0.024205657|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($501,000-1,000,000 project valuation)|20-25(e)|516.15|500||Y|N||4|1||528.64|528.648|12.49|0.024198392|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($501,000-1,000,000 project valuation)  [Double Fee]|20-25(e)|1032.3|1000||Y|N||4|1||1057.29|1057.2961|24.99|0.024208079|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($7001-$150,000 project valuation)|20-25(e)|154.84|150||Y|N||4|1||158.58|158.5892|3.74|0.024153965|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee ($7001-$150,000 project valuation) [Double Fee]|20-25(e)|309.69|300||Y|N||4|1||317.18|317.1888|7.49|0.024185476|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee (More than $5,000,000 project valuation)|20-25(e)|722.61|700||Y|N||4|1||740.1|740.1072|17.49|0.024203927|||||
Food Establishment Plan Review|Health and Human Services|Plan Review Fee (More than $5,000,000 project valuation)  [Double Fee]|20-25(e)|1445.22|1400||Y|N||4|1||1480.21|1480.2145|34.99|0.024210847|||||
Food Establishment Plan Review Inspection|Health and Human Services|Pre-Operational Inspection (Unoccupied)|20-25(f)|87.74|85||Y|N||3|1||89.86|89.8645|2.12|0.024162298|||||
Food Establishment Plan Review Permit|Health and Human Services|Pre-Operational Inspection (Occupied)|20-25(f)|175.49|170||Y|N||1|1||179.73|179.7393|4.24|0.024160921|||||
Food Service Manager's Certification|Health and Human Services|Food Service Manager's Certication- replacement of certificate |20-57|25.8|25||Y|||6|1||26.42|26.4247|0.62|0.024031008|||||
Health/Environment |Health and Human Services|Smoking prohibition exemption for tobacco bars - Renewal Fee|21-242(5)|100|100|||||6|6||100|100|0|0|||||
Health/Environment Permit|Health and Human Services|Concrete crushing site registration|21-176|500|500|||||1|6||500|500|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Automotive body repair shop|21-166(a)(1)|500|500|||||1|N/A||500|500|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Dry cleaning plant, 11 or more employees|21-166(a)(3)|250|250|||||1|N/A||250|250|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Dry cleaning plant, 5 or fewer employees|21-166(a)(3)|100|100|||||1|N/A||100|100|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Dry cleaning plant, 6-10 employees|21-166(a)(3)|200|200|||||1|N/A||200|200|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Gas dispensing site, 1-6 pump nozzles, per site|21-166(a)(2)|250|250|||||1|N/A||250|250|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Gas dispensing site, 7 or more pump nozzles, per site|21-166(a)(2)|500|500|||||1|N/A||500|500|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Incinerators, dual chambered|21-166(a)(6)|350|350|||||1|N/A||350|350|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Incinerators, pathological waste|21-166(a)(6)|750|750|||||1|N/A||750|750|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Other facilities, for 1 ton or more, but less than 5 tons of contaminant emissions|21-166(a)(5)|600|600|||||1|N/A||600|600|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Other facilities, for 10 or more tons of contaminant emissions|21-166(a)(5)|3000|3000|||||1|N/A||3000|3000|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Other facilities, for 5 tons or more, but less that 10 tons of contaminant emissions|21-166(a)(5)|1200|1200|||||1|N/A||1200|1200|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Sewage treatment plant, design capacity of  500,001 to 9,999,999 gallons|21-166(a)(7)|1200|1200|||||1|N/A||1200|1200|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Sewage treatment plant, design capacity of 10,000,000 to 39,999,999 gallons|21-166(a)(7)|2000|2000|||||1|N/A||2000|2000|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Sewage treatment plant, design capacity of 40,000,000 or more gallons|21-166(a)(7)|2500|2500|||||1|N/A||2500|2500|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Sewage treatment plant, design capacity of less than 500,000 gallons|21-166(a)(7)|500|500|||||1|N/A||500|500|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Used vehicle sales lot, 101 or more vehicles|21-166(a)(4)|350|350|||||1|N/A||350|350|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Used vehicle sales lot, 1-5 vehicles NO CHARGE|21-166(a)(4)|No charge|No charge|||||1|N/A||No charge|No charge|0|0|||||
Health/Environment Permit|Health and Human Services|Contaminant source registration - Used vehicle sales lot, 6-100 vehicles|21-166(a)(4)|250|250|||||1|N/A||250|250|0|0|||||
Health/Environment Permit|Health and Human Services|Smoking prohibition exemption for tobacco bars - Intitial Permit Fee|21-242(5)|300|300|||||1|6||300|300|0|0|||||
Health/Environment Permit|Health and Human Services|Tire transporter permit amendment, per added driver|21-199(d)|10.32|10||Y|||1|1||10.56|10.5698|0.24|0.023255814|||||
Health/Environment Permit|Health and Human Services|Tire transporter permit amendment, per added truck|21-199(d)|30.96|30||Y|||1|1||31.7|31.7096|0.74|0.023901809|||||
Health/Environment Permit|Health and Human Services|Tire transporter permit application|21-198(c)|103.23|100||Y|||1|1||105.72|105.7296|2.49|0.024120895|||||
Health/Environment Permit|Health and Human Services|Tire transporter permit, per driver|21-198(c)|10.32|10||Y|||1|1||10.56|10.5698|0.24|0.023255814|||||
Health/Environment Permit|Health and Human Services|Tire transporter permit, per truck|21-198(c)|30.96|30||Y|||1|1||31.7|31.7096|0.74|0.023901809|||||
Laboratory 1225|Health and Human Services|Food, Fecal Coliform|21-15(b)|65|65|||||6|6||65|65|0|0|||||
Laboratory 1230|Health and Human Services|Food, Staphylococcus|21-15(b)|40|40|||||6|6||40|40|0|0|||||
Laboratory 1235|Health and Human Services|Food, Standard Plate Count|21-15(b)|22|22|||||6|3||22|22|0|0|||||
Laboratory 2005|Health and Human Services|Stool Culture (All Enterics) |21-15(b)|80|80|||||6|3||80|80|0|0|||||
Laboratory 201|Health and Human Services|Stool, EHEC Shiga Toxin Assay|21-15(b)|38|38|||||6|3||38|38|0|0|||||
Laboratory 202 |Health and Human Services|ID Reference Culture, Neisseria meningitidis Serogroup|21-15(b)|56|56|||||6|3||56|56|0|0|||||
Laboratory 203|Health and Human Services|ID Reference Culture, Shiga Toxin E. coli|21-15(b)|38|38|||||6|3||38|38|0|0|||||
Laboratory 204|Health and Human Services|ID Reference Culture, Vibrio cholerae Typing|21-15(b)|70|70|||||6|3||70|70|0|0|||||
Laboratory 205|Health and Human Services|ID Reference Culture, Haemophilus influenzae Typing |21-15(b)|85|85|||||6|6||85|85|0|0|||||
Laboratory 2106|Health and Human Services|Gonorrhea Culture|21-15(b)|20|20|||||6|6||20|20|0|0|||||
Laboratory 2110|Health and Human Services|Culture, Legionella |21-15(b)|24|24|||||6|6||24|24|0|0|||||
Laboratory 2120|Health and Human Services|Culture, Bordetella pertussis |21-15(b)|18|18|||||6|6||18|18|0|0|||||
Laboratory 2125|Health and Human Services|Smear, DFA Bordetella pertussis|21-15(b)|26|26|||||6|6||26|26|0|0|||||
Laboratory 2202|Health and Human Services|PFGE Strain Subtyping|21-15(b)|87|87|||||6|6||87|87|0|0|||||
Laboratory 2205|Health and Human Services|ID Reference Culture, Salmonella Serotyping |21-15(b)|51|51|||||6|6||51|51|0|0|||||
Laboratory 2210|Health and Human Services|ID Reference Culture, Shigella Serotyping|21-15(b)|41|41|||||6|6||41|41|0|0|||||
Laboratory 2215|Health and Human Services|ID Reference Culture, Aerobe|21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 2310|Health and Human Services|Gram Stain|21-15(b)|5|5|||||6|3||5|5|0|0|||||
Laboratory 2315|Health and Human Services|Darkfield|21-15(b)|14.5|14.5|||||6|6||14.5|14.5|0|0|||||
Laboratory 2322|Health and Human Services|Gen-Probe APTIMA (Amplified) Gonorrhea / Chlamydia|21-15(b)|12|12|||||6|3||12|12|0|0|||||
Laboratory 2405|Health and Human Services|AFB Culture, Primary|21-15(b)|26|26|||||6|3||26|26|0|0|||||
Laboratory 2406|Health and Human Services|AFB Stain, Fluorochrome|21-15(b)|16|16|||||6|3||16|16|0|0|||||
Laboratory 2412|Health and Human Services|QuantiFERON TB Gold in Tube|21-15(b)|87|87|||||6|6||87|87|0|0|||||
Laboratory 2415|Health and Human Services|AFB Identification, HPLC|21-15(b)|17|17|||||6|3||17|17|0|0|||||
Laboratory 2416|Health and Human Services|AFB Identification, DNA Probe|21-15(b)|22|22|||||6|3||22|22|0|0|||||
Laboratory 2424|Health and Human Services|QuantiFERON TB Gold in Tube (U Houston)|21-15(b)|50|50|||||6|2||50|50|0|0|||||
Laboratory 2446|Health and Human Services|AFB Susceptibility, Broth, MTB|21-15(b)|52|52|||||6|3||52|52|0|0|||||
Laboratory 2451|Health and Human Services|AFB Susceptibility, Agar, Rifampin Only, M. kansasii|21-15(b)|8|8|||||6|3||8|8|0|0|||||
Laboratory 2452|Health and Human Services|AFB Susceptibility, Agar, PZA Only|21-15(b)|8|8|||||6|3||8|8|0|0|||||
Laboratory 2454|Health and Human Services|AFB Susceptibility, Agar, Secondary Panel|21-15(b)|80|80|||||6|3||80|80|0|0|||||
Laboratory 2455|Health and Human Services|AFB, Amplified Probe|21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 2621|Health and Human Services|Stool Culture, Salmonella|21-15(b)|22|22|||||6|3||22|22|0|0|||||
Laboratory 2622|Health and Human Services|Stool Culture, Shigella|21-15(b)|42|42|||||6|3||42|42|0|0|||||
Laboratory 2710|Health and Human Services|Wet Prep|21-15(b)|5|5|||||6|6||5|5|0|0|||||
Laboratory 2800|Health and Human Services|Bioterrorism Environmental Culture Confirmation|21-15(b)|135|135|||||6|3||135|135|0|0|||||
Laboratory 2810|Health and Human Services|B. mallei B. pseudomallei Cell Lysates|21-15(b)|167|167|||||6|6||167|167|0|0|||||
Laboratory 2811|Health and Human Services|B. mallei B. pseudomallei DNA|21-15(b)|169|169|||||6|6||169|169|0|0|||||
Laboratory 2812|Health and Human Services|Bacillus anthracis Cell Lysates|21-15(b)|152|152|||||6|6||152|152|0|0|||||
Laboratory 2813|Health and Human Services|Bacillus anthracis Clinical Samples|21-15(b)|34|34|||||6|6||34|34|0|0|||||
Laboratory 2814|Health and Human Services|Bacillus anthracis Spores|21-15(b)|34|34|||||6|6||34|34|0|0|||||
Laboratory 2815|Health and Human Services|Brucella spp. DNA Blood|21-15(b)|34|34|||||6|6||34|34|0|0|||||
Laboratory 2816|Health and Human Services|Brucella spp. DNA Cell Lysates|21-15(b)|34|34|||||6|6||34|34|0|0|||||
Laboratory 2817|Health and Human Services|Clostridium botulinum Neurotoxin Detection - Environmental|21-15(b)|180|180|||||6|6||180|180|0|0|||||
Laboratory 2818|Health and Human Services|Environmental Sample Screen for BT Agents and Toxins by Real-Time PCR|21-15(b)|812|812|||||6|6||812|812|0|0|||||
Laboratory 2819|Health and Human Services|Francisella tularensis Cell Lysates|21-15(b)|152|152|||||6|6||152|152|0|0|||||
Laboratory 2820|Health and Human Services|Francisella tularensis DNA Blood|21-15(b)|119|119|||||6|6||119|119|0|0|||||
Laboratory 2821|Health and Human Services|Norovirus Real-Time PCR|21-15(b)|56|56|||||6|3||56|56|0|0|||||
Laboratory 2822|Health and Human Services|Orthopoxvirus DNA (Extraction from Clinical Specimens)|21-15(b)|116|116|||||6|6||116|116|0|0|||||
Laboratory 2823|Health and Human Services|TRF-Ricin Toxin Detection|21-15(b)|33|33|||||6|6||33|33|0|0|||||
Laboratory 2824|Health and Human Services|Yersinia pestis DNA Cell Lysates|21-15(b)|33|33|||||6|6||33|33|0|0|||||
Laboratory 2825|Health and Human Services|Yersinia pestis DNA Sputum / Nasopharyngeal|21-15(b)|33|33|||||6|6||33|33|0|0|||||
Laboratory 2826|Health and Human Services|Non-Variola Orthopox DNA Extraction Clinical Specimens|21-15(b)|26|26|||||6|6||26|26|0|0|||||
Laboratory 2830|Health and Human Services|E. coli 0157 Food Test|21-15(b)|56|56|||||6|3||56|56|0|0|||||
Laboratory 2831|Health and Human Services|Genus Listeria Food Test|21-15(b)|56|56|||||6|3||56|56|0|0|||||
Laboratory 2832|Health and Human Services|Salmonella Food Testing|21-15(b)|56|56|||||6|3||56|56|0|0|||||
Laboratory 2900|Health and Human Services|Bioterrorism Clinical Culture Confirmation|21-15(b)|135|135|||||6|6||135|135|0|0|||||
Laboratory 2901|Health and Human Services|ID Reference Culture, Bacillus anthracis|21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 2902|Health and Human Services|ID Reference Culture, Burkholderia mallei / pseudomallei |21-15(b)|45|45|||||6|3||45|45|0|0|||||
Laboratory 2903|Health and Human Services|ID Reference Culture, Francisella tularensis |21-15(b)|45|45|||||6|6||45|45|0|0|||||
Laboratory 2905|Health and Human Services|ID Reference Culture, Yersinia pestis |21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 2906|Health and Human Services|ID Reference Culture, Brucella Species |21-15(b)|45|45|||||6|3||45|45|0|0|||||
Laboratory 2913|Health and Human Services|Influenza A Subtyping|21-15(b)|0.05|0.05|||||6|6||0.05|0.05|0|0|||||
Laboratory 5010|Health and Human Services|Pollen & Spore Count|21-15(b)|152|152|||||6|6||152|152|0|0|||||
Laboratory 5305|Health and Human Services|Influenza A/H5 RNA Extraction Using Qiagen Q/Aamp|21-15(b)|119|119|||||6|6||119|119|0|0|||||
Laboratory 6000|Health and Human Services|Rapid Plasma Reagin|21-15(b)|5.15|5.15|||||6|3||5.15|5.15|0|0|||||
Laboratory 6008|Health and Human Services|Treponema pallidum Particle Agglutination (TP-PA)|21-15(b)|10|10|||||6|3||10|10|0|0|||||
Laboratory 6019|Health and Human Services|Stat RPR Titer|21-15(b)|5.15|5.15|||||6|6||5.15|5.15|0|0|||||
Laboratory 6020|Health and Human Services|Rubella EIA, IgG|21-15(b)|8|8|||||6|3||8|8|0|0|||||
Laboratory 6030|Health and Human Services|Rubella EIA, IgM|21-15(b)|23|23|||||6|6||23|23|0|0|||||
Laboratory 6040|Health and Human Services|Mumps EIA|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 6050|Health and Human Services|Varicella-Zoster EIA|21-15(b)|24|24|||||6|6||24|24|0|0|||||
Laboratory 6065|Health and Human Services|Rubeola EIA, IgG|21-15(b)|30|30|||||6|3||30|30|0|0|||||
Laboratory 6070|Health and Human Services|Toxoplasmosis EIA, IgG|21-15(b)|30|30|||||6|6||30|30|0|0|||||
Laboratory 6072|Health and Human Services|Toxoplasmosis EIA, IgM|21-15(b)|31|31|||||6|6||31|31|0|0|||||
Laboratory 6080|Health and Human Services|Cytomegalovirus EIA, IgG|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Laboratory 6081|Health and Human Services|Cytomegalovirus EIA, IgM|21-15(b)|30|30|||||6|6||30|30|0|0|||||
Laboratory 6109|Health and Human Services|Influenza RT - PCR|21-15(b)|0.05|0.05|||||6|6||0.05|0.05|0|0|||||
Laboratory 6116|Health and Human Services|Herpes EIA|21-15(b)|21|21|||||6|6||21|21|0|0|||||
Laboratory 6170|Health and Human Services|Arbovirus Screen|21-15(b)|39|39|||||6|6||39|39|0|0|||||
Laboratory 6190|Health and Human Services|Herpes Simplex Virus Culture|21-15(b)|36|36|||||6|6||36|36|0|0|||||
Laboratory 6290|Health and Human Services|Rotavirus Stool Ag|21-15(b)|38|38|||||6|6||38|38|0|0|||||
Laboratory 6320|Health and Human Services|Chlamydia Culture|21-15(b)|49|49|||||6|6||49|49|0|0|||||
Laboratory 6331|Health and Human Services|Viral Screen|21-15(b)|50|50|||||6|6||50|50|0|0|||||
Laboratory 6340|Health and Human Services|Enterovirus Typing|21-15(b)|50|50|||||6|6||50|50|0|0|||||
Laboratory 6410|Health and Human Services|Hepatitis B Surface Ag|21-15(b)|8|8|||||6|3||8|8|0|0|||||
Laboratory 6415|Health and Human Services|Hepatitis C EIA|21-15(b)|28|28|||||6|6||28|28|0|0|||||
Laboratory 6420|Health and Human Services|HBS Ag Confirmatory EIA|21-15(b)|0.05|0.05|||||6|6||0.05|0.05|0|0|||||
Laboratory 6430|Health and Human Services|Hepatitis B Surface Ab|21-15(b)|14|14|||||6|3||14|14|0|0|||||
Laboratory 6440|Health and Human Services|Hepatitis B Core Ab|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Laboratory 6450|Health and Human Services|Hepatitis B Core IgM Ab|21-15(b)|20.7|20.7|||||6|6||20.7|20.7|0|0|||||
Laboratory 6460|Health and Human Services|Hepatitis Be Ag|21-15(b)|12|12|||||6|3||12|12|0|0|||||
Laboratory 6470|Health and Human Services|Hepatitis Be Ab|21-15(b)|8|8|||||6|6||8|8|0|0|||||
Laboratory 6480|Health and Human Services|Hepatitis A IgG Ab|21-15(b)|48|48|||||6|3||48|48|0|0|||||
Laboratory 6490|Health and Human Services|Hepatitis A IgM Ab|21-15(b)|48|48|||||6|3||48|48|0|0|||||
Laboratory 6500|Health and Human Services|HIV-1 Antibody|21-15(b)|26|26|||||6|6||26|26|0|0|||||
Laboratory 6510|Health and Human Services|Western Blot|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 6520|Health and Human Services|Hepatitis B Panel|21-15(b)|58|58|||||6|6||58|58|0|0|||||
Laboratory 6530|Health and Human Services|Hepatitis A Panel|21-15(b)|85|85|||||6|6||85|85|0|0|||||
Laboratory 6572|Health and Human Services|Rabies IFA|21-15(b)|40|40|||||6|3||40|40|0|0|||||
Laboratory 7505|Health and Human Services|Rapid HIV |21-15(b)|11.75|11.75|||||6|6||11.75|11.75|0|0|||||
Laboratory 9002|Health and Human Services|Aldehydes|21-15(b)|80|80|||||6|6||80|80|0|0|||||
Laboratory 9003|Health and Human Services|Ammonia|21-15(b)|23|23|||||6|6||23|23|0|0|||||
Laboratory 9004|Health and Human Services|BTEX (Benzene, Ethyl Benzene)|21-15(b)|75|75|||||6|6||75|75|0|0|||||
Laboratory 9005|Health and Human Services|Biochemical Oxygen Demand (BOD)|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Laboratory 9006|Health and Human Services|Conductivity|21-15(b)|19|19|||||6|3||19|19|0|0|||||
Laboratory 9007|Health and Human Services|Cyanide, Total|21-15(b)|55|55|||||6|3||55|55|0|0|||||
Laboratory 9008|Health and Human Services|Cyanide, Amenable|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Laboratory 9009|Health and Human Services|Flash Point|21-15(b)|23|23|||||6|6||23|23|0|0|||||
Laboratory 9010|Health and Human Services|Lead, Drinking Water|21-15(b)|30|30|||||6|3||30|30|0|0|||||
Laboratory 9011|Health and Human Services|Lead, Paint, Wipes, Dust|21-15(b)|14|14|||||6|6||14|14|0|0|||||
Laboratory 9012|Health and Human Services|Lead, Pottery (Leaching)|21-15(b)|15|15|||||6|6||15|15|0|0|||||
Laboratory 9013|Health and Human Services|Lead, Blood|21-15(b)|25|25|||||6|6||25|25|0|0|||||
Laboratory 9014|Health and Human Services|Metals, Each (Air & Water Samples)|21-15(b)|19|19|||||6|3||19|19|0|0|||||
Laboratory 9015|Health and Human Services|Metals in Soil (Each)|21-15(b)|21|21|||||6|3||21|21|0|0|||||
Laboratory 9016|Health and Human Services|Nitrate|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9017|Health and Human Services|Nitrite|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9018|Health and Human Services|Glycols|21-15(b)|30|30|||||6|6||30|30|0|0|||||
Laboratory 9019|Health and Human Services|Oil & Grease|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9020|Health and Human Services|Chlorinated Pesticides|21-15(b)|184|184|||||6|3||184|184|0|0|||||
Laboratory 9021|Health and Human Services|Pesticides and PCBs|21-15(b)|184|184|||||6|3||184|184|0|0|||||
Laboratory 9022|Health and Human Services|PCBs in Oil|21-15(b)|50|50|||||6|6||50|50|0|0|||||
Laboratory 9023|Health and Human Services|PCBs in Soil|21-15(b)|85|85|||||6|6||85|85|0|0|||||
Laboratory 9024|Health and Human Services|Phenols, Total|21-15(b)|45|45|||||6|6||45|45|0|0|||||
Laboratory 9025|Health and Human Services|Phosphorus, Ortho|21-15(b)|15|15|||||6|6||15|15|0|0|||||
Laboratory 9026|Health and Human Services|Phosphorus, Total|21-15(b)|20|20|||||6|6||20|20|0|0|||||
Laboratory 9027|Health and Human Services|Polynuclear Aromatic Hydrocarbons|21-15(b)|165|165|||||6|6||165|165|0|0|||||
Laboratory 9028|Health and Human Services|Specific Compound Identification|21-15(b)|33|33|||||6|6||33|33|0|0|||||
Laboratory 9029|Health and Human Services|TCLP, Metals|21-15(b)|150|150|||||6|6||150|150|0|0|||||
Laboratory 9030|Health and Human Services|Total Dissolved Solids|21-15(b)|21|21|||||6|6||21|21|0|0|||||
Laboratory 9031|Health and Human Services|Total Suspended Solids|21-15(b)|21|21|||||6|6||21|21|0|0|||||
Laboratory 9032|Health and Human Services|TPH by GC|21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 9033|Health and Human Services|Volatile Organics|21-15(b)|183|183|||||6|6||183|183|0|0|||||
Laboratory 9034|Health and Human Services|Volatile Suspended Solids|21-15(b)|16|16|||||6|6||16|16|0|0|||||
Laboratory 9035|Health and Human Services|Arsenic|21-15(b)|31|31|||||6|3||31|31|0|0|||||
Laboratory 9036|Health and Human Services|Chlorine, Residual|21-15(b)|20|20|||||6|3||20|20|0|0|||||
Laboratory 9037|Health and Human Services|Chemical Oxygen Demand|21-15(b)|20|20|||||6|6||20|20|0|0|||||
Laboratory 9038|Health and Human Services|Chlorinated Hydrocarbons|21-15(b)|184|184|||||6|3||184|184|0|0|||||
Laboratory 9039|Health and Human Services|Fluoride|21-15(b)|21|21|||||6|3||21|21|0|0|||||
Laboratory 9040|Health and Human Services|Chloride|21-15(b)|21|21|||||6|6||21|21|0|0|||||
Laboratory 9041|Health and Human Services|Mercury|21-15(b)|31|31|||||6|6||31|31|0|0|||||
Laboratory 9042|Health and Human Services|Nitrate (Air Sample)|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9043|Health and Human Services|Particulates|21-15(b)|10|10|||||6|6||10|10|0|0|||||
Laboratory 9044|Health and Human Services|pH|21-15(b)|10|10|||||6|6||10|10|0|0|||||
Laboratory 9045|Health and Human Services|Phenol|21-15(b)|120|120|||||6|3||120|120|0|0|||||
Laboratory 9046|Health and Human Services|Phthalate Esters|21-15(b)|137|137|||||6|6||137|137|0|0|||||
Laboratory 9047|Health and Human Services|Purgeable Aromatics|21-15(b)|137|137|||||6|6||137|137|0|0|||||
Laboratory 9048|Health and Human Services|Purgeable Halocarbons|21-15(b)|137|137|||||6|6||137|137|0|0|||||
Laboratory 9049|Health and Human Services|Sample Digestion|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9050|Health and Human Services|Selenium|21-15(b)|30|30|||||6|3||30|30|0|0|||||
Laboratory 9051|Health and Human Services|Semi-Volatile Organics (GC/MS)|21-15(b)|230|230|||||6|6||230|230|0|0|||||
Laboratory 9052|Health and Human Services|Sulfate|21-15(b)|21|21|||||6|3||21|21|0|0|||||
Laboratory 9053|Health and Human Services|Sulfate (Air Sample)|21-15(b)|21|21|||||6|3||21|21|0|0|||||
Laboratory 9054|Health and Human Services|Total Organic Carbon|21-15(b)|16|16|||||6|6||16|16|0|0|||||
Laboratory 9055|Health and Human Services|Turbidity|21-15(b)|20|20|||||6|3||20|20|0|0|||||
Laboratory 9056|Health and Human Services|Sample Prep for Metals Analysis - Soil|21-15(b)|25|25|||||6|3||25|25|0|0|||||
Laboratory 9057|Health and Human Services|Staphylococcus aureus|21-15(b)|51|51|||||6|6||51|51|0|0|||||
Laboratory 9061|Health and Human Services|Enterolet, Quantitray for Enterococcus in Environmental Water|21-15(b)|22.5|22.5|||||6|6||22.5|22.5|0|0|||||
Laboratory 9064|Health and Human Services|Potable Water, SPC Test|21-15(b)|20|20|||||6|3||20|20|0|0|||||
Laboratory 9065|Health and Human Services|Water, Total Coliform, MT|21-15(b)|28|28|||||6|3||28|28|0|0|||||
Laboratory 9066|Health and Human Services|Multiple Tube, Total Coliform (MTT)|21-15(b)|35|35|||||6|3||35|35|0|0|||||
Laboratory 9067|Health and Human Services|Colilert (P/A)- Potable Water|21-15(b)|16.5|16.5|||||6|6||16.5|16.5|0|0|||||
Laboratory 9068|Health and Human Services|Colilert, Quantitray for E. coli in Environmental Water |21-15(b)|22.5|22.5|||||6|6||22.5|22.5|0|0|||||
Laboratory 9069|Health and Human Services|Milk / Frozen Dessert SPC|21-15(b)|9|9|||||6|6||9|9|0|0|||||
Laboratory 9070|Health and Human Services|Milk, Freezing Point|21-15(b)|3|3|||||6|6||3|3|0|0|||||
Laboratory 9071|Health and Human Services|Milk, Growth Inhibitor, Rapid|21-15(b)|36|36|||||6|3||36|36|0|0|||||
Laboratory 9072|Health and Human Services|Milk, Growth Inhibitor, Disc|21-15(b)|7|7|||||6|6||7|7|0|0|||||
Laboratory 9073|Health and Human Services|Milk, Fluorophos|21-15(b)|11|11|||||6|6||11|11|0|0|||||
Laboratory 9074|Health and Human Services|Milk, Somatic Cell Count, Manual / Electronic|21-15(b)|12|12|||||6|6||12|12|0|0|||||
Laboratory 9075|Health and Human Services|Standard Plate Count (SPC)|21-15(b)|15|15|||||6|6||15|15|0|0|||||
