Name/Type,Responsible Department,Permit/Fee Name and Description,Statutory Authority ," Fees As of Dec. 31, 2012 ","Fees As of
June 30, 2011","Fees As of April 1, 2012",Notes,Sec. 1-13 Increase Applies?,Sec. 1-14 Admin Fee Applies?,Increase Date,6 Dept. Assignment,"7 Dept. Assignment
",DECIMAL NOTES for PWE,"Fee As Jan 1, 2013",CPI increase 1.024214%in format #.####,Variance,% change,1.024214,PWE SEQUENCE Request,NOTE,Sequence Key,Change
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Hepatitis A ( Adult),21-13, 42.00 , $42.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$42.00,42.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Hepatitis B ( Adult),21-13, 48.00 , $48.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$48.00,48.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Inactivated Polio Vaccine,21-13, 46.00 , $46.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$46.00,46.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Meningococcal (Menactra),21-13, 128.00 , $128.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$128.00,128.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Meningococcal (Menomune),21-13, 113.00 , $113.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$113.00,113.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,"Adult and Foreign Travel Vaccines -MMR (Measles, Mumps, Rubella)",21-13, 69.00 , $69.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$69.00,69.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Oral Typhoid,21-13, 67.00 , $67.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$67.00,67.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Pneumococcal Polysaccharide,21-13, 49.00 , $49.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$49.00,49.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -TB Skin Test (PPD),21-13, 22.00 , $22.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$22.00,22.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Td,21-13, 46.00 , $46.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$46.00,46.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -TdaP,21-13, 58.00 , $58.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$58.00,58.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Twunrix (Hepatitis A & B),21-13, 78.00 , $78.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$78.00,78.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Typhoid,21-13, 72.00 , $72.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$72.00,72.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Varicella,21-13, 108.00 , $108.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$108.00,108.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Yellow Fever,21-13, 99.00 , $99.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$99.00,99.0000,$0.00,0.00%,,,,,
Adult Vaccines,Health and Human Services,Adult and Foreign Travel Vaccines -Zostavax Zoster,21-13, 195.00 , $195.00 ,,Adult vaccine prices may change per City ordinance which allows a charge of $20 plus the cost of the vaccine. These prices are based on the current cost of the medicine.,,,,6,6,,$195.00,195.0000,$0.00,0.00%,,,,,
Ambulance Permits,Health and Human Services,Ambulance Driver Permit Fee,04-3(e), 103.23 ,$100.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Ambulance Permits,Health and Human Services,Ambulance Operator Permit,04-16," 1,032.30 ","$1,000.00",,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Ambulance Permits,Health and Human Services,Ambulance Permit Fee Renewal,04-16, 825.84 ,$800.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,1,1,,$845.83,845.8368,$19.99,2.42%,,,,,
Ambulance Permits- Inspection,Health and Human Services,Ambulance Inspection Fee-Private (ambulance vehicle decal),04-16, 283.88 ,$275.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,3,1,,$290.75,290.7538,$6.87,2.42%,,,,,
Clinical Services,Health and Human Services,"Certified copies of records - Expedited processing, per request (not per document)",21-15(a), 15.48 ,$15.00,,Direction authorized to establish fee.,N,,,6,1,,$15.85,15.8548,$0.37,2.39%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (101+ Employees),20-38(b)(1)e, 825.84 ,$800.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$845.83,845.8368,$19.99,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (10-25 Employees),20-38(b)(1)b, 361.30 ,$350.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$370.04,370.0485,$8.74,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (1-9 Employees),20-38(b)(1)a, 227.10 ,$220.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$232.59,232.5989,$5.49,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (26-50 Employees),20-38(b)(1)c, 516.15 ,$500.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (51-100 Employees),20-38(b)(1)d, 670.99 ,$650.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$687.23,687.2373,$16.24,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Dealer (non-profit),20-38(b), 154.84 ,$150.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Food Dealers Permits,Health and Human Services,Food Service Establishment Sec. 47-423 interceptor fee,20-38(d), 94.97 ,$50.00,,"This fee should reflect the interceptor fee in Chapter 47, which is $92 (Line 87). Therefore, if that fee is increased by this ordinance, this fee should match it. Also, it should be under ""Spec. Food Permits instead of Mobile Food Vendor Licenses.",Y,N,,1,1,,$97.26,97.2696,$2.29,2.41%,,,,,
Food Dealers Permits,Health and Human Services,Special investigative fee (Late application for renewal),20-38(b)(4), 51.61 ,$50.00,,,Y,N,,1,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Food Dealers Permits,Health and Human Services,Technology and Administrative Fee,20-38(b)(1)f, 10.32 ,$10.00,,,Y,N,,1,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Food Establishment Plan Review,Health and Human Services,Construction/Remodeling Technology and Administrative Fee,20-25(e), 10.32 ,$10.00,,,Y,N,,4,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($0-$7,000 project valuation)",20-25(e), 25.80 ,$25.00,,,Y,N,,4,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Food Establishment Plan Review,Health and Human Services,Plan Review Fee ($0-$7000 project valuation) [Double Fee],20-25(e), 51.61 , $50.00 ,,,Y,N,,4,1,,$52.85,52.8596,$1.24,2.40%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($1,000,000-$5,000,000 project valuation)",20-25(e), 619.38 ,$600.00,,,Y,N,,4,1,,$634.37,634.3776,$14.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($1,000,000-$5,000,000 project valuation)  [Double Fee]",20-25(e)," 1,238.76 "," $1,200.00 ",,,Y,N,,4,1,,"$1,268.75","1,268.7553",$29.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($151,000-$200,000 project valuation)",20-25(e), 206.46 ,$200.00,,,Y,N,,4,1,,$211.45,211.4592,$4.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($151,000-$200,000 project valuation) [Double Fee]",20-25(e), 412.92 , $400.00 ,,,Y,N,,4,1,,$422.91,422.9184,$9.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($201,000-$300,000 project valuation)",20-25(e), 309.69 ,$300.00,,,Y,N,,4,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($201,000-$300,000 project valuation)  [Double Fee]",20-25(e), 619.38 , $600.00 ,,,Y,N,,4,1,,$634.37,634.3776,$14.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($301,000-$500,000 project valuation)",20-25(e), 412.92 ,$400.00,,,Y,N,,4,1,,$422.91,422.9184,$9.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($301,0000-$$500,000 project valuation)",20-25(e), 825.84 , $800.00 ,,,Y,N,,4,1,,$845.83,845.8368,$19.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($501,000-1,000,000 project valuation)",20-25(e), 516.15 ,$500.00,,,Y,N,,4,1,,$528.64,528.6480,$12.49,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($501,000-1,000,000 project valuation)  [Double Fee]",20-25(e)," 1,032.30 "," $1,000.00 ",,,Y,N,,4,1,,"$1,057.29","1,057.2961",$24.99,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($7001-$150,000 project valuation)",20-25(e), 154.84 ,$150.00,,,Y,N,,4,1,,$158.58,158.5892,$3.74,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee ($7001-$150,000 project valuation) [Double Fee]",20-25(e), 309.69 , $300.00 ,,,Y,N,,4,1,,$317.18,317.1888,$7.49,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee (More than $5,000,000 project valuation)",20-25(e), 722.61 ,$700.00,,,Y,N,,4,1,,$740.10,740.1072,$17.49,2.42%,,,,,
Food Establishment Plan Review,Health and Human Services,"Plan Review Fee (More than $5,000,000 project valuation)  [Double Fee]",20-25(e)," 1,445.22 "," $1,400.00 ",,,Y,N,,4,1,,"$1,480.21","1,480.2145",$34.99,2.42%,,,,,
Food Establishment Plan Review Inspection,Health and Human Services,Pre-Operational Inspection (Unoccupied),20-25(f), 87.74 ,$85.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,3,1,,$89.86,89.8645,$2.12,2.42%,,,,,
Food Establishment Plan Review Permit,Health and Human Services,Pre-Operational Inspection (Occupied),20-25(f), 175.49 ,$170.00,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,N,,1,1,,$179.73,179.7393,$4.24,2.42%,,,,,
Food Service Manager's Certification,Health and Human Services,Food Service Manager's Certication- replacement of certificate ,20-57, 25.80 ,$25.00 ,,"Changed by Fee Increase Ordinance (No. 2010-1016, as amended by Ord. No. 2010-1064)",Y,,,6,1,,$26.42,26.4247,$0.62,2.40%,,,,,
Health/Environment ,Health and Human Services,Smoking prohibition exemption for tobacco bars - Renewal Fee,21-242(5), 100.00 ,$100.00,,Fee that reflects the actual cost of processing and issuing said permit,,,,6,6,,$100.00,100.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,Concrete crushing site registration,21-176, 500.00 ,$500.00,,"Director shall establish the application fee, which shall be approved by city council 
Ord. No. 2007-545",,,,1,6,,$500.00,500.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,Contaminant source registration - Automotive body repair shop,21-166(a)(1), 500.00 ,$500.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$500.00,500.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Dry cleaning plant, 11 or more employees",21-166(a)(3), 250.00 ,$250.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$250.00,250.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Dry cleaning plant, 5 or fewer employees",21-166(a)(3), 100.00 ,$100.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$100.00,100.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Dry cleaning plant, 6-10 employees",21-166(a)(3), 200.00 ,$200.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$200.00,200.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Gas dispensing site, 1-6 pump nozzles, per site",21-166(a)(2), 250.00 ,$250.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$250.00,250.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Gas dispensing site, 7 or more pump nozzles, per site",21-166(a)(2), 500.00 ,$500.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$500.00,500.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Incinerators, dual chambered",21-166(a)(6), 350.00 ,$350.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$350.00,350.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Incinerators, pathological waste",21-166(a)(6), 750.00 ,$750.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$750.00,750.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Other facilities, for 1 ton or more, but less than 5 tons of contaminant emissions",21-166(a)(5), 600.00 ,$600.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$600.00,600.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Other facilities, for 10 or more tons of contaminant emissions",21-166(a)(5)," 3,000.00 ","$3,000.00",,Fee must not be changed due to recent litigation,,,,1,N/A,,"$3,000.00","3,000.0000",$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Other facilities, for 5 tons or more, but less that 10 tons of contaminant emissions",21-166(a)(5)," 1,200.00 ","$1,200.00",,Fee must not be changed due to recent litigation,,,,1,N/A,,"$1,200.00","1,200.0000",$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Sewage treatment plant, design capacity of  500,001 to 9,999,999 gallons",21-166(a)(7)," 1,200.00 ","$1,200.00",,Fee must not be changed due to recent litigation,,,,1,N/A,,"$1,200.00","1,200.0000",$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Sewage treatment plant, design capacity of 10,000,000 to 39,999,999 gallons",21-166(a)(7)," 2,000.00 ","$2,000.00",,Fee must not be changed due to recent litigation,,,,1,N/A,,"$2,000.00","2,000.0000",$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Sewage treatment plant, design capacity of 40,000,000 or more gallons",21-166(a)(7)," 2,500.00 ","$2,500.00",,Fee must not be changed due to recent litigation,,,,1,N/A,,"$2,500.00","2,500.0000",$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Sewage treatment plant, design capacity of less than 500,000 gallons",21-166(a)(7), 500.00 ,$500.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$500.00,500.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Used vehicle sales lot, 101 or more vehicles",21-166(a)(4), 350.00 ,$350.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$350.00,350.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Used vehicle sales lot, 1-5 vehicles NO CHARGE",21-166(a)(4), No charge ,No charge,,Fee must not be changed due to recent litigation,,,,1,N/A,,No charge,No charge,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Contaminant source registration - Used vehicle sales lot, 6-100 vehicles",21-166(a)(4), 250.00 ,$250.00,,Fee must not be changed due to recent litigation,,,,1,N/A,,$250.00,250.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,Smoking prohibition exemption for tobacco bars - Intitial Permit Fee,21-242(5), 300.00 ,$300.00,,Fee that reflects the actual cost of processing and issuing said permit,,,,1,6,,$300.00,300.0000,$0.00,0.00%,,,,,
Health/Environment Permit,Health and Human Services,"Tire transporter permit amendment, per added driver",21-199(d), 10.32 ,$10.00,,,Y,,,1,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Health/Environment Permit,Health and Human Services,"Tire transporter permit amendment, per added truck",21-199(d), 30.96 ,$30.00,,,Y,,,1,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Health/Environment Permit,Health and Human Services,Tire transporter permit application,21-198(c), 103.23 ,$100.00,,,Y,,,1,1,,$105.72,105.7296,$2.49,2.41%,,,,,
Health/Environment Permit,Health and Human Services,"Tire transporter permit, per driver",21-198(c), 10.32 ,$10.00,,,Y,,,1,1,,$10.56,10.5698,$0.24,2.33%,,,,,
Health/Environment Permit,Health and Human Services,"Tire transporter permit, per truck",21-198(c), 30.96 ,$30.00,,,Y,,,1,1,,$31.70,31.7096,$0.74,2.39%,,,,,
Laboratory 1225,Health and Human Services,"Food, Fecal Coliform",21-15(b), 65.00 ,$65.00,,Fee determined based on equation,,,,6,6,,$65.00,65.0000,$0.00,0.00%,,,,,
Laboratory 1230,Health and Human Services,"Food, Staphylococcus",21-15(b), 40.00 ,$40.00,,Fee determined based on equation,,,,6,6,,$40.00,40.0000,$0.00,0.00%,,,,,
Laboratory 1235,Health and Human Services,"Food, Standard Plate Count",21-15(b), 22.00 ,$22.00,,Equivalent to the current state fee,,,,6,3,,$22.00,22.0000,$0.00,0.00%,,,,,
Laboratory 2005,Health and Human Services,Stool Culture (All Enterics) ,21-15(b), 80.00 ,$80.00,,Equivalent to the current state fee,,,,6,3,,$80.00,80.0000,$0.00,0.00%,,,,,
Laboratory 201,Health and Human Services,"Stool, EHEC Shiga Toxin Assay",21-15(b), 38.00 ,$38.00,,Equivalent to the current state fee,,,,6,3,,$38.00,38.0000,$0.00,0.00%,,,,,
Laboratory 202 ,Health and Human Services,"ID Reference Culture, Neisseria meningitidis Serogroup",21-15(b), 56.00 ,$56.00,,Equivalent to the current state fee,,,,6,3,,$56.00,56.0000,$0.00,0.00%,,,,,
Laboratory 203,Health and Human Services,"ID Reference Culture, Shiga Toxin E. coli",21-15(b), 38.00 ,$38.00,,Equivalent to the current state fee,,,,6,3,,$38.00,38.0000,$0.00,0.00%,,,,,
Laboratory 204,Health and Human Services,"ID Reference Culture, Vibrio cholerae Typing",21-15(b), 70.00 ,$70.00,,Equivalent to the current state fee,,,,6,3,,$70.00,70.0000,$0.00,0.00%,,,,,
Laboratory 205,Health and Human Services,"ID Reference Culture, Haemophilus influenzae Typing ",21-15(b), 85.00 ,$85.00,,Fee determined based on equation,,,,6,6,,$85.00,85.0000,$0.00,0.00%,,,,,
Laboratory 2106,Health and Human Services,Gonorrhea Culture,21-15(b), 20.00 ,$20.00,,Fee determined based on equation,,,,6,6,,$20.00,20.0000,$0.00,0.00%,,,,,
Laboratory 2110,Health and Human Services,"Culture, Legionella ",21-15(b), 24.00 ,$24.00,,Fee determined based on equation,,,,6,6,,$24.00,24.0000,$0.00,0.00%,,,,,
Laboratory 2120,Health and Human Services,"Culture, Bordetella pertussis ",21-15(b), 18.00 ,$18.00,,Fee determined based on equation,,,,6,6,,$18.00,18.0000,$0.00,0.00%,,,,,
Laboratory 2125,Health and Human Services,"Smear, DFA Bordetella pertussis",21-15(b), 26.00 ,$26.00,,Fee determined based on equation,,,,6,6,,$26.00,26.0000,$0.00,0.00%,,,,,
Laboratory 2202,Health and Human Services,PFGE Strain Subtyping,21-15(b), 87.00 ,$87.00,,Fee determined based on equation,,,,6,6,,$87.00,87.0000,$0.00,0.00%,,,,,
Laboratory 2205,Health and Human Services,"ID Reference Culture, Salmonella Serotyping ",21-15(b), 51.00 ,$51.00,,Fee determined based on equation,,,,6,6,,$51.00,51.0000,$0.00,0.00%,,,,,
Laboratory 2210,Health and Human Services,"ID Reference Culture, Shigella Serotyping",21-15(b), 41.00 ,$41.00,,Fee determined based on equation,,,,6,6,,$41.00,41.0000,$0.00,0.00%,,,,,
Laboratory 2215,Health and Human Services,"ID Reference Culture, Aerobe",21-15(b), 35.00 ,$35.00,,Equivalent to the current state fee,,,,6,3,,$35.00,35.0000,$0.00,0.00%,,,,,
Laboratory 2310,Health and Human Services,Gram Stain,21-15(b), 5.00 ,$5.00,,Equivalent to the current state fee,,,,6,3,,$5.00,5.0000,$0.00,0.00%,,,,,
Laboratory 2315,Health and Human Services,Darkfield,21-15(b), 14.50 ,$14.50,,Add Test,,,,6,6,,$14.50,14.5000,$0.00,0.00%,,,,,
Laboratory 2322,Health and Human Services,Gen-Probe APTIMA (Amplified) Gonorrhea / Chlamydia,21-15(b), 12.00 ,$12.00,,Equivalent to the current state fee,,,,6,3,,$12.00,12.0000,$0.00,0.00%,,,,,
Laboratory 2405,Health and Human Services,"AFB Culture, Primary",21-15(b), 26.00 ,$26.00,,Equivalent to the current state fee,,,,6,3,,$26.00,26.0000,$0.00,0.00%,,,,,
Laboratory 2406,Health and Human Services,"AFB Stain, Fluorochrome",21-15(b), 16.00 ,$16.00,,Equivalent to the current state fee,,,,6,3,,$16.00,16.0000,$0.00,0.00%,,,,,
Laboratory 2412,Health and Human Services,QuantiFERON TB Gold in Tube,21-15(b), 87.00 ,$87.00,,Add Test,,,,6,6,,$87.00,87.0000,$0.00,0.00%,,,,,
Laboratory 2415,Health and Human Services,"AFB Identification, HPLC",21-15(b), 17.00 ,$17.00,,Equivalent to the current state fee,,,,6,3,,$17.00,17.0000,$0.00,0.00%,,,,,
Laboratory 2416,Health and Human Services,"AFB Identification, DNA Probe",21-15(b), 22.00 ,$22.00,,Equivalent to the current state fee,,,,6,3,,$22.00,22.0000,$0.00,0.00%,,,,,
Laboratory 2424,Health and Human Services,QuantiFERON TB Gold in Tube (U Houston),21-15(b), 50.00 ,$50.00,,"Contract Price
Set by Director ",,,,6,2,,$50.00,50.0000,$0.00,0.00%,,,,,
Laboratory 2446,Health and Human Services,"AFB Susceptibility, Broth, MTB",21-15(b), 52.00 ,$52.00,,Equivalent to the current state fee,,,,6,3,,$52.00,52.0000,$0.00,0.00%,,,,,
Laboratory 2451,Health and Human Services,"AFB Susceptibility, Agar, Rifampin Only, M. kansasii",21-15(b), 8.00 ,$8.00,,Equivalent to the current state fee,,,,6,3,,$8.00,8.0000,$0.00,0.00%,,,,,
Laboratory 2452,Health and Human Services,"AFB Susceptibility, Agar, PZA Only",21-15(b), 8.00 ,$8.00,,Equivalent to the current state fee,,,,6,3,,$8.00,8.0000,$0.00,0.00%,,,,,
Laboratory 2454,Health and Human Services,"AFB Susceptibility, Agar, Secondary Panel",21-15(b), 80.00 ,$80.00,,Equivalent to the current state fee,,,,6,3,,$80.00,80.0000,$0.00,0.00%,,,,,
Laboratory 2455,Health and Human Services,"AFB, Amplified Probe",21-15(b), 35.00 ,$35.00,,Equivalent to the current state fee,,,,6,3,,$35.00,35.0000,$0.00,0.00%,,,,,
Laboratory 2621,Health and Human Services,"Stool Culture, Salmonella",21-15(b), 22.00 ,$22.00,,Equivalent to the current state fee,,,,6,3,,$22.00,22.0000,$0.00,0.00%,,,,,
Laboratory 2622,Health and Human Services,"Stool Culture, Shigella",21-15(b), 42.00 ,$42.00,,Equivalent to the current state fee,,,,6,3,,$42.00,42.0000,$0.00,0.00%,,,,,
Laboratory 2710,Health and Human Services,Wet Prep,21-15(b), 5.00 ,$5.00,,Fee determined based on equation,,,,6,6,,$5.00,5.0000,$0.00,0.00%,,,,,
Laboratory 2800,Health and Human Services,Bioterrorism Environmental Culture Confirmation,21-15(b), 135.00 ,$135.00,,Equivalent to the current state fee,,,,6,3,,$135.00,135.0000,$0.00,0.00%,,,,,
Laboratory 2810,Health and Human Services,B. mallei B. pseudomallei Cell Lysates,21-15(b), 167.00 ,$167.00,,Fee determined based on equation,,,,6,6,,$167.00,167.0000,$0.00,0.00%,,,,,
Laboratory 2811,Health and Human Services,B. mallei B. pseudomallei DNA,21-15(b), 169.00 ,$169.00,,Fee determined based on equation,,,,6,6,,$169.00,169.0000,$0.00,0.00%,,,,,
Laboratory 2812,Health and Human Services,Bacillus anthracis Cell Lysates,21-15(b), 152.00 ,$152.00,,Fee determined based on equation,,,,6,6,,$152.00,152.0000,$0.00,0.00%,,,,,
Laboratory 2813,Health and Human Services,Bacillus anthracis Clinical Samples,21-15(b), 34.00 ,$34.00,,Fee determined based on equation,,,,6,6,,$34.00,34.0000,$0.00,0.00%,,,,,
Laboratory 2814,Health and Human Services,Bacillus anthracis Spores,21-15(b), 34.00 ,$34.00,,Fee determined based on equation,,,,6,6,,$34.00,34.0000,$0.00,0.00%,,,,,
Laboratory 2815,Health and Human Services,Brucella spp. DNA Blood,21-15(b), 34.00 ,$34.00,,Fee determined based on equation,,,,6,6,,$34.00,34.0000,$0.00,0.00%,,,,,
Laboratory 2816,Health and Human Services,Brucella spp. DNA Cell Lysates,21-15(b), 34.00 ,$34.00,,Fee determined based on equation,,,,6,6,,$34.00,34.0000,$0.00,0.00%,,,,,
Laboratory 2817,Health and Human Services,Clostridium botulinum Neurotoxin Detection - Environmental,21-15(b), 180.00 ,$180.00,,Fee determined based on equation,,,,6,6,,$180.00,180.0000,$0.00,0.00%,,,,,
